City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Plettenberg Bay,ZA,67.95,overcast clouds,-34.05,23.37,Thanda Vista B&B
424,Alofi,NU,78.8,light rain,-19.06,-169.92,Taloa Heights
426,Tomatlan,MX,77.83,overcast clouds,19.93,-105.25,Norma franco
427,Itaituba,BR,81.7,broken clouds,-4.28,-55.98,Hotel Campos
429,Serra,BR,73.4,few clouds,-20.13,-40.31,Interior do Estado do Espirito Santo
430,Tiarei,PF,78.8,shower rain,-17.53,-149.33,Le Rocher de Tahiti
431,San Blas,MX,80.62,light rain,21.52,-105.27,Hotel Posada del Rey
433,Santo Antonio De Jesus,BR,68.49,broken clouds,-12.97,-39.26,"5C Hotel - Conforto, Qualidade e Internet de Alta Velocidade"
436,Correntina,BR,73.69,broken clouds,-13.34,-44.64,Hotel Pousada dos Sonhos
439,Coahuayana,MX,80.11,overcast clouds,18.73,-103.68,Hotel Los Arcos
441,Kurunegala,LK,84.2,few clouds,7.49,80.36,Galhena Estate Buluwala
450,Port Elizabeth,ZA,66.2,mist,-33.92,25.57,39 On Nile Guest House
451,Sao Joao Da Barra,BR,69.1,clear sky,-21.64,-41.05,Pousada Porto De Canoas
452,Aguimes,ES,68.0,few clouds,27.91,-15.45,Hotel Villa de Aguimes
454,Abu Kamal,SY,66.36,clear sky,34.45,40.92,محطة التلفاز
458,Mfou,CM,67.95,overcast clouds,3.72,11.64,Maison Du Juge Noah
459,San Carlos,VE,74.44,broken clouds,9.66,-68.58,Hotel Paternopoli
461,Matara,LK,84.61,broken clouds,5.95,80.54,Amaloh Boutique Resort
465,Yaan,NG,73.9,overcast clouds,7.38,8.57,
466,Santa Cruz De La Palma,ES,68.0,clear sky,28.68,-17.76,H10 Taburiente Playa
468,Nelson Bay,AU,80.6,clear sky,-32.72,152.15,Mantra Nelson Bay
472,Sao Raimundo Nonato,BR,80.01,clear sky,-9.02,-42.7,Real Hotel
473,Macon,US,68.0,clear sky,39.87,-88.97,Baymont by Wyndham Decatur
481,Iwaki,JP,68.0,light rain,37.05,140.88,Toyoko Inn Iwaki Ekimae
482,Sao Francisco De Assis,BR,67.08,light rain,-29.55,-55.13,Hotel Aguiar
483,Bitam,GA,68.4,light rain,2.08,11.5,Bénédicta hôtel
487,Buala,SB,84.34,light rain,-8.14,159.59,Maringe Lagoon Lodge
488,Kindu,CD,68.09,light rain,-2.95,25.95,Hotel Karibu
489,Kongwa,TZ,65.35,clear sky,-6.2,36.42,Chipsi Feed
492,Tura,IN,77.2,light rain,25.52,90.22,Hotel RIKMAN Continental
493,Rajura,IN,77.47,clear sky,19.78,79.37,Hotel Shree Sai
496,Namibe,AO,68.59,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
497,Yining,CN,70.14,clear sky,29.04,114.56,Xiushui Hotel
500,Florianopolis,BR,72.0,overcast clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
501,Wilmington,US,72.0,broken clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
502,Santa Isabel Do Para,BR,77.0,clear sky,-1.3,-48.16,Hotel Cacique
507,Natal,BR,75.2,mist,-5.79,-35.21,Villa Park Hotel | Natal
508,Calabozo,VE,75.92,clear sky,8.92,-67.43,Hotel Giardini
511,Guerrero Negro,MX,66.58,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
512,Aransas Pass,US,79.0,scattered clouds,27.91,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
513,Kaliua,TZ,68.32,few clouds,-5.06,31.79,Millennium Complex
517,Hamilton,US,69.01,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
522,Nouakchott,MR,78.8,few clouds,18.09,-15.98,Hôtel Iman
524,Senador Jose Porfirio,BR,80.06,broken clouds,-2.59,-51.95,MORADA DO SOL pousada
526,Birao,CF,72.03,broken clouds,10.28,22.79,
528,Pokhara,NP,77.22,clear sky,28.23,83.98,Hotel View Point
530,Cabedelo,BR,75.2,broken clouds,-6.98,-34.83,Lua Mansa Pousada
531,Boa Vista,BR,82.4,clear sky,2.82,-60.67,Aipana Plaza Hotel
534,Nishihara,JP,71.6,light intensity shower rain,26.18,127.76,Minshuku Agaihama
541,Mount Isa,AU,78.8,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
546,Tchibanga,GA,71.2,light rain,-2.85,11.03,
548,Puerto El Triunfo,SV,77.0,scattered clouds,13.28,-88.55,Hotel Jardin
552,Yongchang,CN,68.0,clear sky,30.04,119.73,Fuli Hotel
553,Isla Mujeres,MX,78.8,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
557,Cockburn Town,TC,81.99,clear sky,21.46,-71.14,Osprey Beach Hotel
561,Luanda,AO,73.4,few clouds,-8.84,13.23,EPIC SANA Luanda
564,Arukutti,IN,82.4,mist,9.87,76.35,Ramada Resort by Wyndham Kochi
566,Kihei,US,82.4,few clouds,20.79,-156.47,Maui Sunset
571,Coolum Beach,AU,78.01,few clouds,-26.53,153.1,Palmer Coolum Resort
572,Mocuba,MZ,73.13,overcast clouds,-16.84,36.99,Phama Lodge
