City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Mizan Teferi,ET,2020-10-15 18:22:32,6.98,35.58,62.37,90,99,2.57
110,Kargopol,RU,2020-10-15 18:22:32,61.51,38.95,35.35,93,47,5.14
111,Bonthe,SL,2020-10-15 18:22:32,7.53,-12.51,80.6,79,46,8.68
112,Santa Barbara,US,2020-10-15 18:22:32,34.73,-120.03,86.0,26,1,4.41
113,Ranot,TH,2020-10-15 18:22:33,7.78,100.32,81.03,78,93,12.57
114,Yellowknife,CA,2020-10-15 18:18:36,62.46,-114.35,27.0,73,75,23.04
115,Kachug,RU,2020-10-15 18:22:33,53.96,105.88,35.26,84,100,4.07
116,Pacific Grove,US,2020-10-15 18:18:12,36.62,-121.92,84.99,24,1,3.36
117,Suntar,RU,2020-10-15 18:18:54,62.14,117.63,32.97,96,100,8.23
118,Krasnoselkup,RU,2020-10-15 18:22:33,65.7,82.47,28.76,96,96,14.41
119,Palmas Bellas,PA,2020-10-15 18:22:33,9.23,-80.09,84.0,79,12,10.0
120,Bengkulu,ID,2020-10-15 18:18:17,-3.8,102.27,76.3,87,65,3.62
121,Puerto Escondido,MX,2020-10-15 18:18:48,15.85,-97.07,86.5,64,13,6.96
122,Vao,NC,2020-10-15 18:18:52,-22.67,167.48,71.4,81,100,15.99
123,Yining,CN,2020-10-15 18:22:34,29.04,114.56,61.0,93,100,1.59
124,Cabo San Lucas,MX,2020-10-15 18:20:08,22.89,-109.91,93.0,43,5,8.37
125,Wanning,CN,2020-10-15 18:22:34,18.8,110.4,79.2,88,100,16.24
126,Arkhangelsk,RU,2020-10-15 18:22:34,64.54,40.54,33.8,100,90,2.24
127,Shimoda,JP,2020-10-15 18:22:34,34.67,138.95,54.0,83,86,1.99
128,Sitka,US,2020-10-15 18:19:00,57.05,-135.33,46.4,75,90,9.17
129,Port-Gentil,GA,2020-10-15 18:18:43,-0.72,8.78,78.8,78,40,14.99
130,Port Moresby,PG,2020-10-15 18:19:56,-9.44,147.18,74.57,88,70,12.39
131,Kiama,AU,2020-10-15 18:22:35,-34.68,150.87,64.99,84,95,5.01
132,Port Blair,IN,2020-10-15 18:22:35,11.67,92.75,80.8,82,100,10.22
133,Leningradskiy,RU,2020-10-15 18:18:48,69.38,178.42,33.57,89,100,10.71
134,Harper,LR,2020-10-15 18:18:58,4.38,-7.72,78.57,86,100,8.68
135,Msanga,TZ,2020-10-15 18:22:35,-6.05,36.03,71.6,64,40,17.22
136,Bambous Virieux,MU,2020-10-15 18:18:46,-20.34,57.76,75.0,83,75,9.17
137,Moron,AR,2020-10-15 18:14:04,-34.65,-58.62,75.0,68,83,6.93
138,Phuthaditjhaba,ZA,2020-10-15 18:22:36,-28.52,28.82,68.11,25,0,4.65
139,Dingle,PH,2020-10-15 18:18:41,11.0,122.67,74.34,95,100,1.59
140,Adrar,MR,2020-10-15 18:19:00,20.5,-10.07,97.84,14,92,7.99
141,Lavrentiya,RU,2020-10-15 18:18:54,65.58,-171.0,37.94,93,100,13.85
142,Miramar,US,2020-10-15 18:22:36,25.99,-80.23,89.01,74,75,10.29
143,Sitarganj,IN,2020-10-15 18:22:36,28.93,79.7,73.13,67,37,2.35
144,Khatanga,RU,2020-10-15 18:18:41,71.97,102.5,15.4,97,100,4.85
145,Hilo,US,2020-10-15 18:18:36,19.73,-155.09,78.01,73,1,5.82
146,Merauke,ID,2020-10-15 18:22:36,-8.47,140.33,77.25,80,100,13.33
147,Arraial Do Cabo,BR,2020-10-15 18:15:12,-22.97,-42.03,78.8,78,20,16.11
148,Nouadhibou,MR,2020-10-15 18:22:37,20.93,-17.03,78.8,65,83,16.11
149,Channel-Port Aux Basques,CA,2020-10-15 18:22:37,47.57,-59.14,52.43,79,0,9.48
150,Vangaindrano,MG,2020-10-15 18:22:37,-23.35,47.6,70.45,80,76,3.49
151,Emerald,AU,2020-10-15 18:22:37,-23.53,148.17,62.6,72,0,5.82
152,Ginda,IN,2020-10-15 18:22:37,30.69,78.49,57.31,46,0,4.92
153,Heinola,FI,2020-10-15 18:22:38,61.21,26.04,39.2,80,20,6.93
154,Dulce Grande,MX,2020-10-15 18:22:38,23.0,-102.17,73.4,33,5,11.41
155,Mehamn,NO,2020-10-15 18:22:38,71.04,27.85,41.0,86,75,23.04
156,Kahului,US,2020-10-15 18:19:14,20.89,-156.47,78.01,73,1,1.25
157,Hamilton,US,2020-10-15 18:22:38,39.18,-84.53,55.99,66,90,10.29
158,Ossora,RU,2020-10-15 18:22:38,59.24,163.07,39.65,72,96,16.37
159,Broome,US,2020-10-15 18:22:38,42.25,-75.83,77.0,35,1,16.11
160,Iqaluit,CA,2020-10-15 18:20:39,63.75,-68.51,37.4,93,90,5.82
161,Marietta,US,2020-10-15 18:21:20,33.95,-84.55,77.0,65,75,6.93
162,Llangefni,GB,2020-10-15 18:22:39,53.26,-4.31,51.8,71,88,8.05
163,Saint-Pierre,RE,2020-10-15 18:22:39,-21.34,55.48,73.4,73,10,5.82
164,Aviles,ES,2020-10-15 18:22:39,43.55,-5.92,57.0,76,20,2.24
165,Nhulunbuy,AU,2020-10-15 18:22:39,-12.23,136.77,75.2,88,44,6.67
166,Nadapuram,IN,2020-10-15 18:22:39,11.7,75.67,75.2,94,75,3.36
167,Klaksvik,FO,2020-10-15 18:22:40,62.23,-6.59,44.6,81,61,1.12
168,Kodiak,US,2020-10-15 18:16:36,57.79,-152.41,41.0,80,1,5.82
169,Saskylakh,RU,2020-10-15 18:22:40,71.92,114.08,20.05,96,100,16.64
170,Mahebourg,MU,2020-10-15 18:22:40,-20.41,57.7,73.4,83,75,9.17
171,Araouane,ML,2020-10-15 18:22:40,18.9,-3.53,99.27,11,0,4.23
172,Songea,TZ,2020-10-15 18:22:40,-10.68,35.65,75.2,57,5,6.93
173,Avarua,CK,2020-10-15 18:18:42,-21.21,-159.78,69.8,64,100,6.93
174,Bathsheba,BB,2020-10-15 18:22:40,13.22,-59.52,86.0,74,20,13.87
175,Shenjiamen,CN,2020-10-15 18:22:41,29.96,122.3,65.46,73,100,12.26
176,Rehoboth,NA,2020-10-15 18:22:41,-23.32,17.08,79.43,16,0,10.69
177,Tianpeng,CN,2020-10-15 18:22:41,30.99,103.94,61.0,1,100,3.71
178,Santa Marta,CO,2020-10-15 18:22:41,11.24,-74.2,87.01,73,1,1.01
179,Tiksi,RU,2020-10-15 18:18:47,71.69,128.87,19.02,98,94,2.33
180,Uptar,RU,2020-10-15 18:22:41,59.75,150.92,22.84,96,86,4.81
181,Revda,RU,2020-10-15 18:22:42,56.8,59.93,41.0,100,100,4.47
182,Vaini,TO,2020-10-15 18:18:32,-21.2,-175.2,73.4,83,75,8.05
